English,Punjabi
sadaa kurbaan keetaa guroo vitahu jis dee-aa ayhi vadi-aa-ee-aa.     ,sdw kurbwxu kIqw gurU ivthu ijs dIAw eyih vifAweIAw ]
kahai naanak sunhu santahu sabad Dharahu pi-aaro.     ,khY nwnku suxhu sMqhu sbid Drhu ipAwro ]
saachaa naam mayraa aaDhaaro. ((4))     ,swcw nwmu myrw AwDwro ]4]
vaajay panch sabad tit ghar sabhaagai.     ,vwjy pMc sbd iqqu Gir sBwgY ]
ghar sabhaagai sabad vaajay kalaa jit ghar Dhaaree-aa.     ,Gir sBwgY sbd vwjy klw ijqu Gir DwrIAw ]
panch doot tuDh vas keetay kaal kantak maari-aa.     ,pMc dUq quDu vis kIqy kwlu kMtku mwirAw ]
Dhur karam paa-i-aa tuDh jin ka-o se naam har kai laagay.     ,Duir krim pwieAw quDu ijn kau is nwim hir kY lwgy ]
kahai naanak tah sukh ho-aa tit ghar anhad vaajay. ((5))     ,khY nwnku qh suKu hoAw iqqu Gir Anhd vwjy ]5]
anad sunhu vadbhaageeho sagal manorath pooray.     ,Andu suxhu vfBwgIho sgl mnorQ pUry ]
paarbarahm parabh paa-i-aa utray sagal visooray.     ,pwrbRhmu pRBu pwieAw auqry sgl ivsUry ]
dookh rog santaap utray sunee sachee banee.     ,dUK rog sMqwp auqry suxI scI bwxI ]
sant saajan bha-ay sarsay pooray gur tay jaanee.     ,sMq swjn Bey srsy pUry gur qy jwxI ]
suntay puneet kahtay pavit satgur rahi-aa bharpooray.   ,suxqy punIq khqy pivqu siqguru rihAw BrpUry ]
binvant naanak gur charan laagay vaajay anhad tooray. ((40)(1)) ,ibnvMiq nwnku gur crx lwgy vwjy Anhd qUry ]40]1]
mundaavanee mehlaa panjavaa(n) ],muMdwvxI mhlw 5 ]
thaal vich tinn vasatoo pa-ee-o sat santokh veechaaro.,Qwl ivic iqMin vsqU peIE squ sMqoKu vIcwro ]
amrit naam thaakur kaa pa-i-o jis kaa sabhas adhaaro.,AMimRq nwmu Twkur kw pieE ijs kw sBsu ADwro ]
jay ko khaavai jay ko bhunchai tis kaa ho-ay udhaaro.,jy ko KwvY jy ko BuMcY iqs kw hoie auDwro ]
ayh vasat tajee nah jaa-ee nit nit rakh ur dhaaro.,eyh vsqu qjI nh jweI inq inq rKu auir Dwro ]
tam sansaar charan lag taree-ai sabh naanak brahm pasaaro. ||1||,qm sMswru crn lig qrIAY sBu nwnk bRhm pswro ]1]
salok mehlaa panjavaa(n) ],slok mhlw 5 ]
tayraa keetaa jaato naahee maino jog keeto-ee.,qyrw kIqw jwqo nwhI mYno jogu kIqoeI ]
mai nirguni-aaray ko gun naahee aapay taras pa-i-o-ee.,mY inrguixAwry ko guxu nwhI Awpy qrsu pieEeI ]
taras pa-i-aa miharaamat ho-ee satgur sajan mili-aa.,qrsu pieAw imhrwmiq hoeI siqguru sjxu imilAw ]
naanak naam milai taa(n) jeevaa(n) tan man theevai hari-aa. ||1||,nwnk nwmu imlY qW jIvW qnu mnu QIvY hirAw ]1]
taras pa-i-aa miharaamat ho-ee satgur sajan mili-aa.,qrsu pieAw imhrwmiq hoeI siqguru sjxu imilAw ]
naanak naam milai taa(n) jeevaa(n) tan man theevai hari-aa. ||1||,nwnk nwmu imlY qW jIvW qnu mnu QIvY hirAw ]1]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
